a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170706_01_02_01,20170706_01_02_01,1,visible,0.1,P1,0.0,20.0,15.7,25,16,6,0.2926829268292683,-0.6912140321346871,0.7882211778822118,0.3725627437256274,1
20170706_01_02_01,20170706_01_02_01,1,visible,0.1,P2,20.0,60.0,40.0,62,39,22,0.43564356435643564,1.0983324426172545,0.1693830616938306,0.8788121187881212,1
20170706_01_02_01,20170706_01_02_01,1,visible,0.1,P3,60.0,180.0,119.69999999999999,165,126,45,0.30927835051546393,-1.2502542848946314,0.9126087391260874,0.11358864113588642,1
20170706_01_02_02,20170706_01_02_02,1,visible,0.1,P1,0.0,20.0,15.0,24,21,11,0.4888888888888889,0.618302492820176,0.38516148385161486,0.771922807719228,1
20170706_01_02_02,20170706_01_02_02,1,visible,0.1,P2,20.0,60.0,40.0,57,40,23,0.4742268041237113,1.8038730966520586,0.05469453054694531,0.9732026797320268,1
20170706_01_02_02,20170706_01_02_02,1,visible,0.1,P3,60.0,180.0,119.6,164,131,51,0.34576271186440677,-0.46226420716529093,0.684931506849315,0.36466353364663534,1
20170706_01_02_03,20170706_01_02_03,1,visible,0.1,P1,0.0,20.0,15.0,22,18,3,0.15,-1.9436309714377822,0.9946005399460054,0.034896510348965105,1
20170706_01_02_03,20170706_01_02_03,1,visible,0.1,P2,20.0,60.0,40.0,60,42,22,0.43137254901960786,0.97677441990169,0.20307969203079693,0.8724127587241276,1
20170706_01_02_03,20170706_01_02_03,1,visible,0.1,P3,60.0,180.0,119.5,151,107,39,0.3023255813953488,-0.3021926080687059,0.6542345765423457,0.4256574342565743,1
20170706_03_04_01,20170706_03_04_01,1,visible,0.1,P1,0.0,20.0,14.1,19,18,6,0.32432432432432434,-0.31085236097979035,0.6233376662333766,0.43485651434856515,1
20170706_03_04_01,20170706_03_04_01,1,visible,0.1,P2,20.0,60.0,40.0,51,52,19,0.36893203883495146,-0.24173588217372133,0.6636336366363363,0.45995400459954006,1
20170706_03_04_01,20170706_03_04_01,1,visible,0.1,P3,60.0,180.0,119.69999999999999,154,157,70,0.45016077170418006,1.483544270019394,0.08409159084091591,0.9333066693330667,1
20170706_03_04_02,20170706_03_04_02,1,visible,0.1,P1,0.0,20.0,14.9,21,21,8,0.38095238095238093,-0.41026376865822795,0.7076292370762923,0.41675832416758324,1
20170706_03_04_02,20170706_03_04_02,1,visible,0.1,P2,20.0,60.0,40.0,55,53,22,0.4074074074074074,0.10377721822505312,0.49625037496250374,0.6053394660533946,1
20170706_03_04_02,20170706_03_04_02,1,visible,0.1,P3,60.0,180.0,119.30000000000001,153,157,62,0.4,0.32003089872330964,0.402959704029597,0.6566343365663434,1
20170706_03_04_03,20170706_03_04_03,1,visible,0.1,P1,0.0,20.0,13.8,19,26,13,0.5777777777777777,1.4520450567377536,0.12288771122887711,0.9515048495150485,1
20170706_03_04_03,20170706_03_04_03,1,visible,0.1,P2,20.0,60.0,40.0,58,63,25,0.4132231404958678,-0.5219294786956126,0.7213278672132787,0.35166483351664835,1
20170706_03_04_03,20170706_03_04_03,1,visible,0.1,P3,60.0,180.0,119.4,156,171,79,0.4831804281345566,1.8327364603886147,0.0385961403859614,0.9715028497150285,1
20170706_05_06_01,20170706_05_06_01,1,visible,0.1,P1,0.0,20.0,15.5,26,19,6,0.26666666666666666,-1.5602250143460032,0.9573042695730427,0.11258874112588742,1
20170706_05_06_01,20170706_05_06_01,1,visible,0.1,P2,20.0,60.0,40.0,57,44,19,0.37623762376237624,0.12609460550757504,0.5068493150684932,0.6185381461853815,1
20170706_05_06_01,20170706_05_06_01,1,visible,0.1,P3,60.0,180.0,119.30000000000001,122,131,44,0.34782608695652173,0.7662584525875927,0.25237476252374763,0.8067193280671933,1
