pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170705_01_02_01,invisible,0.1,P1,0.0,20.0,20.0,29,24,1,8,0.3018867924528302,-0.7473071133996226,0.7728227177282272,0.2987701229877012,0.3840905660377358,0.1099999881052211,0.0,0.0,16,0
20170705_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,55,42,1,24,0.4948453608247423,2.4036418308011576,0.015898410158984102,0.9914008599140086,0.35336288659793813,0.05886171242894648,0.0,0.0,36,0
20170705_01_02_01,invisible,0.1,P3,60.0,180.0,109.0,125,122,1,46,0.3724696356275304,0.8125844502315027,0.2455754424557544,0.8084191580841916,0.33762995951417,0.0428751449814658,0.027522935779816515,3.0,105,1
20170705_01_02_02,invisible,0.1,P1,0.0,20.0,20.0,26,25,1,7,0.27450980392156865,-0.9381270615418633,0.875012498750125,0.23627637236276372,0.37492156862745096,0.10703429079302974,0.0,0.0,16,0
20170705_01_02_02,invisible,0.1,P2,20.0,60.0,40.0,55,42,1,12,0.24742268041237114,-1.81394159884239,0.9741025897410259,0.044795520447955206,0.35760824742268044,0.06074372354690297,0.0,0.0,36,0
20170705_01_02_02,invisible,0.1,P3,60.0,180.0,112.39999999999999,142,140,1,40,0.28368794326241137,-2.306268541173157,0.9898010198980102,0.014898510148985102,0.37750638297872335,0.0406797552155779,0.0,0.0,108,0
20170705_01_02_03,invisible,0.1,P1,0.0,20.0,20.0,26,27,1,10,0.37735849056603776,-0.21109123203923552,0.6415358464153584,0.5005499450054994,0.3969622641509433,0.09286872503194167,0.0,0.0,16,0
20170705_01_02_03,invisible,0.1,P2,20.0,60.0,40.0,46,55,1,17,0.33663366336633666,-0.5153854410137466,0.7435256474352565,0.3464653534646535,0.37524356435643563,0.07491461325363508,0.0,0.0,36,0
20170705_01_02_03,invisible,0.1,P3,60.0,180.0,113.69999999999999,135,144,1,51,0.3655913978494624,-0.008985569644913122,0.5264473552644735,0.5392460753924607,0.365952688172043,0.040207837327839904,0.0,0.0,109,0
20170705_03_04_01,invisible,0.1,P1,0.0,20.0,20.0,28,26,1,17,0.6296296296296297,2.976551855174002,0.010198980101989802,1.0,0.38193333333333335,0.08321585120908857,0.2,4.0,16,1
